@relation 'MLC'

@attribute F1_MEAN_on_ACC_X numeric
@attribute F2_MEAN_on_ACC_Y numeric
@attribute F3_MEAN_on_ACC_Z numeric
@attribute F4_MEAN_on_ACC_V numeric
@attribute F5_VAR_on_ACC_X numeric
@attribute F6_VAR_on_ACC_Y numeric
@attribute F7_VAR_on_ACC_Z numeric
@attribute F8_VAR_on_ACC_V numeric
@attribute F9_MIN_on_ACC_X numeric
@attribute F10_MIN_on_ACC_Y numeric
@attribute F11_MIN_on_ACC_Z numeric
@attribute F12_MIN_on_ACC_V numeric
@attribute F13_MAX_on_ACC_X numeric
@attribute F14_MAX_on_ACC_Y numeric
@attribute F15_MAX_on_ACC_Z numeric
@attribute F16_MAX_on_ACC_V numeric
@attribute class {Jaz, Mami, Mirovanje, Sestra, Vati}

@data
-0.951172, 0.180298, -0.195923, 0.990234, 0.00195313, 0.00012207, 0.000427246, 0, -0.963867, 0.158936, -0.218994, 0.967285, -0.929688, 0.219971, -0.112976, 0.996094, Jaz
-0.956055, 0.0964355, -0.125977, 0.980469, 0.000976563, 0.0117874, 0.00953674, 0, -1.05664, -0.199951, -0.36377, 0.875488, -0.858887, 0.422852, 0.0569763, 1.05957, Jaz
-1.0293, 0.0675049, -0.06073, 1.07324, 0.0556641, 0.0254974, 0.0639038, 0.0644531, -1.42285, -0.296875, -0.614746, 0.65918, -0.626953, 0.334961, 0.328857, 1.46484, Jaz
-0.966309, 0.0947876, 0.036377, 1.04199, 0.0732422, 0.0675659, 0.0701294, 0.0683594, -1.80566, -0.398926, -0.612793, 0.62793, -0.434814, 0.55957, 0.505859, 1.82617, Jaz
-1.09961, 0.0521851, -0.129761, 1.13281, 0.0439453, 0.0175171, 0.0392761, 0.046875, -1.68359, -0.333984, -0.585938, 0.881348, -0.858887, 0.393799, 0.316895, 1.71582, Jaz
-0.893555, 0.0862427, 0.0372925, 0.992188, 0.138184, 0.0705566, 0.107178, 0.141602, -1.74121, -0.611816, -0.47998, 0.479736, -0.0149994, 0.477783, 0.825684, 1.77832, Jaz
-1.07715, 0.0320435, -0.106445, 1.11133, 0.0410156, 0.0170898, 0.0489197, 0.0458984, -1.64258, -0.37085, -0.812988, 0.845215, -0.824707, 0.276855, 0.381836, 1.68359, Jaz
-0.955078, 0.143921, 0.021759, 1.02637, 0.109375, 0.0365601, 0.101624, 0.125977, -1.91699, -0.155884, -0.622559, 0.5625, -0.536621, 0.600586, 0.808594, 1.94336, Jaz
-0.965332, -0.032959, -0.0996704, 1.01758, 0.0585938, 0.0415649, 0.0335999, 0.0419922, -1.30273, -0.587891, -0.595703, 0.479248, -0.0899658, 0.37793, 0.413818, 1.36523, Jaz
-0.966309, 0.0802612, -0.0172577, 1.04004, 0.0996094, 0.0328064, 0.115967, 0.108398, -1.69629, -0.515625, -0.55957, 0.549316, -0.507813, 0.389893, 0.713867, 1.78027, Jaz
-0.970215, 0.0768433, -0.0880737, 1.0332, 0.112305, 0.0619202, 0.038147, 0.100586, -2.05078, -0.536621, -0.668945, 0.471191, -0.100952, 0.562988, 0.505859, 2.12891, Jaz
-1.03906, -0.0225677, -0.125122, 1.08203, 0.09375, 0.0233154, 0.0526428, 0.0957031, -1.68457, -0.467773, -0.662598, 0.623047, -0.615723, 0.303955, 0.410889, 1.70117, Jaz
-0.969238, 0.0770264, 0.0110016, 1.09863, 0.18457, 0.107178, 0.135132, 0.166016, -2.13477, -0.774902, -0.830566, 0.311279, -0.00299835, 0.625, 0.830566, 2.16797, Jaz
