@relation 'MLC'

@attribute F1_MEAN_on_ACC_X numeric
@attribute F2_MEAN_on_ACC_Y numeric
@attribute F3_MEAN_on_ACC_Z numeric
@attribute F4_MEAN_on_ACC_V numeric
@attribute F5_VAR_on_ACC_X numeric
@attribute F6_VAR_on_ACC_Y numeric
@attribute F7_VAR_on_ACC_Z numeric
@attribute F8_VAR_on_ACC_V numeric
@attribute F9_MIN_on_ACC_X numeric
@attribute F10_MIN_on_ACC_Y numeric
@attribute F11_MIN_on_ACC_Z numeric
@attribute F12_MIN_on_ACC_V numeric
@attribute F13_MAX_on_ACC_X numeric
@attribute F14_MAX_on_ACC_Y numeric
@attribute F15_MAX_on_ACC_Z numeric
@attribute F16_MAX_on_ACC_V numeric
@attribute class {Jaz, Mami, Mirovanje, Sestra, Vati}

@data
-0.953613, 0.138672, -0.161133, 0.986328, 0.00292969, 0.00761414, 0.00613403, 0, -1.05664, -0.199951, -0.36377, 0.875488, -0.858887, 0.422852, 0.0569763, 1.05957, Jaz
-0.997559, 0.0809937, -0.012146, 1.05762, 0.0693359, 0.0467224, 0.069519, 0.0664063, -1.80566, -0.398926, -0.614746, 0.62793, -0.434814, 0.55957, 0.505859, 1.82617, Jaz
-0.998047, 0.0692749, -0.0463867, 1.06152, 0.0996094, 0.0444336, 0.0803833, 0.100586, -1.74121, -0.611816, -0.585938, 0.479736, -0.0149994, 0.477783, 0.825684, 1.77832, Jaz
-1.01758, 0.0880737, -0.0424194, 1.07031, 0.078125, 0.0299683, 0.0794678, 0.0859375, -1.91699, -0.37085, -0.812988, 0.5625, -0.536621, 0.600586, 0.808594, 1.94336, Jaz
-0.966797, 0.0236359, -0.0584717, 1.02832, 0.078125, 0.0404663, 0.0765381, 0.0751953, -1.69629, -0.587891, -0.595703, 0.479248, -0.0899658, 0.389893, 0.713867, 1.78027, Jaz
-1.00684, 0.0272064, -0.106812, 1.05859, 0.0996094, 0.0450745, 0.0456238, 0.0947266, -2.05078, -0.536621, -0.668945, 0.471191, -0.100952, 0.562988, 0.505859, 2.12891, Jaz
-1.0293, -0.00192165, -0.076416, 1.11719, 0.124023, 0.0840454, 0.0886841, 0.115234, -2.13477, -0.774902, -0.830566, 0.311279, -0.00299835, 0.625, 0.830566, 2.16797, Jaz
-1.0293, 0.0805664, -0.0720825, 1.10742, 0.115234, 0.0778809, 0.0706177, 0.114258, -2.20508, -0.95752, -0.766602, 0.458008, -0.241943, 0.795898, 0.784668, 2.22461, Jaz
-0.986328, 0.0465698, -0.0320129, 1.04199, 0.0820313, 0.04245, 0.0731812, 0.0878906, -1.71875, -0.444824, -1.04883, 0.552246, -0.162964, 0.454834, 0.578613, 2.03516, Jaz
-0.947754, 0.0404053, -0.0760498, 1.0293, 0.111328, 0.0525818, 0.0779419, 0.0869141, -2.18359, -0.566895, -0.764648, 0.422363, -0.0259857, 0.747559, 0.848633, 2.19336, Jaz
-0.987793, 0.0472107, -0.0498657, 1.06641, 0.114258, 0.048584, 0.107971, 0.115234, -1.73047, -0.490967, -0.727539, 0.350586, 0.0419922, 0.619629, 0.927734, 1.85254, Jaz
-0.980469, 0.0576782, -0.0587463, 1.05566, 0.0913086, 0.0525513, 0.0939941, 0.0917969, -2.00195, -0.392822, -0.702637, 0.484619, -0.341797, 0.842773, 0.731934, 2.01758, Jaz
-0.994141, 0.0672607, -0.0276794, 1.0791, 0.0908203, 0.0604858, 0.10968, 0.0878906, -1.60156, -0.366943, -0.694824, 0.552246, -0.256836, 0.70752, 0.880859, 1.7998, Jaz
