#Format version: 1.0
time[us],accX[g],accY[g],accZ[g],
351240025,0.018,-0.025,-1.014,
351278548,0.018,-0.025,-1.013,
351317071,0.018,-0.025,-1.013,
351355595,0.019,-0.025,-1.013,
351394118,0.019,-0.025,-1.013,
351432642,0.019,-0.025,-1.014,
351471165,0.019,-0.025,-1.014,
351509688,0.019,-0.025,-1.013,
351548212,0.019,-0.026,-1.013,
351586735,0.018,-0.025,-1.014,
351625258,0.019,-0.025,-1.013,
351663781,0.018,-0.025,-1.013,
351702305,0.019,-0.025,-1.013,
351740828,0.019,-0.025,-1.014,
351779351,0.018,-0.025,-1.014,
351817875,0.018,-0.025,-1.014,
351856398,0.018,-0.025,-1.013,
351894921,0.019,-0.025,-1.014,
351933444,0.018,-0.026,-1.013,
351971968,0.019,-0.025,-1.013,
352010492,0.018,-0.025,-1.013,
352049015,0.019,-0.025,-1.014,
352087538,0.018,-0.025,-1.014,
352126061,0.018,-0.025,-1.013,
352164584,0.019,-0.025,-1.014,
352203108,0.018,-0.025,-1.014,
352241632,0.018,-0.026,-1.013,
352280155,0.018,-0.025,-1.013,
352318678,0.018,-0.025,-1.013,
352357201,0.018,-0.025,-1.014,
352395725,0.018,-0.025,-1.014,
352434248,0.018,-0.025,-1.013,
352472771,0.018,-0.025,-1.013,
352511295,0.018,-0.025,-1.013,
352549818,0.018,-0.025,-1.014,
352588341,0.018,-0.025,-1.014,
352626865,0.018,-0.025,-1.014,
352665388,0.018,-0.025,-1.013,
352703911,0.018,-0.025,-1.014,
352742435,0.018,-0.025,-1.014,
352780958,0.018,-0.025,-1.013,
352819482,0.019,-0.026,-1.014,
352858004,0.018,-0.025,-1.014,
352896528,0.018,-0.025,-1.013,
352935051,0.018,-0.025,-1.013,
352973575,0.018,-0.025,-1.013,
353012098,0.018,-0.025,-1.014,
353050621,0.018,-0.026,-1.014,
353089144,0.018,-0.025,-1.013,
353127668,0.018,-0.025,-1.013,
353166191,0.018,-0.026,-1.013,
353204715,0.018,-0.025,-1.013,
353243238,0.018,-0.025,-1.013,
353281762,0.018,-0.025,-1.013,
353320285,0.019,-0.025,-1.014,
353358808,0.019,-0.025,-1.013,
353397331,0.018,-0.025,-1.014,
353435855,0.018,-0.026,-1.013,
353474378,0.018,-0.025,-1.013,
353512902,0.018,-0.025,-1.013,
353551425,0.018,-0.025,-1.013,
353589948,0.018,-0.025,-1.014,
353628471,0.018,-0.026,-1.014,
353666995,0.018,-0.025,-1.013,
353705518,0.018,-0.025,-1.013,
353744042,0.018,-0.025,-1.013,
353782565,0.018,-0.025,-1.013,
353821088,0.018,-0.025,-1.013,
353859611,0.018,-0.025,-1.014,
353898135,0.018,-0.025,-1.013,
353936658,0.018,-0.026,-1.013,
353975181,0.018,-0.025,-1.014,
354013705,0.018,-0.025,-1.013,
354052228,0.018,-0.025,-1.013,
354090751,0.018,-0.025,-1.013,
354129275,0.018,-0.025,-1.013,
354167798,0.018,-0.025,-1.013,
354206321,0.018,-0.025,-1.013,
354244845,0.018,-0.025,-1.014,
354283368,0.018,-0.025,-1.014,
354321891,0.018,-0.026,-1.013,
354360415,0.018,-0.026,-1.013,
354398938,0.018,-0.025,-1.013,
354437461,0.018,-0.026,-1.014,
354475985,0.018,-0.026,-1.013,
354514508,0.018,-0.025,-1.014,
354553032,0.018,-0.025,-1.013,
354591555,0.018,-0.025,-1.013,
354630078,0.019,-0.025,-1.013,
354668601,0.018,-0.026,-1.013,
354707124,0.018,-0.025,-1.013,
354745648,0.017,-0.025,-1.014,
354784172,0.019,-0.025,-1.013,
354822695,0.018,-0.025,-1.012,
354861218,0.018,-0.026,-1.014,
354899741,0.019,-0.025,-1.015,
354938265,0.018,-0.025,-1.013,
354976788,0.018,-0.025,-1.013,
355015311,0.019,-0.025,-1.014,
355053835,0.018,-0.025,-1.014,
355092358,0.018,-0.025,-1.013,
355130882,0.018,-0.026,-1.014,
355169405,0.018,-0.025,-1.014,
355207928,0.018,-0.025,-1.014,
355246452,0.018,-0.025,-1.014,
355284975,0.018,-0.025,-1.013,
355323498,0.018,-0.025,-1.013,
355362021,0.018,-0.025,-1.013,
355400545,0.018,-0.025,-1.013,
355439068,0.018,-0.025,-1.014,
355477591,0.018,-0.025,-1.013,
355516115,0.019,-0.025,-1.013,
355554638,0.018,-0.025,-1.014,
355593161,0.018,-0.025,-1.013,
355631685,0.018,-0.025,-1.013,
355670208,0.018,-0.026,-1.014,
355708732,0.018,-0.026,-1.012,
355747255,0.018,-0.025,-1.016,
355785778,0.018,-0.025,-1.011,
355824302,0.019,-0.026,-1.014,
355862825,0.018,-0.026,-1.012,
355901348,0.018,-0.026,-1.015,
355939871,0.018,-0.026,-1.013,
355978395,0.019,-0.025,-1.015,
356016918,0.018,-0.026,-1.012,
356055442,0.019,-0.025,-1.014,
356093965,0.018,-0.026,-1.013,
356132488,0.019,-0.026,-1.013,
356171012,0.018,-0.025,-1.013,
356209535,0.018,-0.025,-1.014,
356248058,0.018,-0.025,-1.013,
356286581,0.018,-0.025,-1.014,
