#Format version: 1.0
time[us],accX[g],accY[g],accZ[g],
643596527,-0.046,0.082,-1.025,
643635050,-0.058,0.081,-1.014,
643673575,-0.064,0.113,-0.984,
643712099,-0.041,0.107,-1.025,
643750623,-0.017,0.166,-1.097,
643789147,0.024,0.135,-1.244,
643827672,-0.025,-0.06,-1.202,
643866195,-0.126,-0.059,-0.953,
643904719,-0.155,0.016,-0.796,
643943244,-0.172,0.036,-0.646,
643981768,-0.156,0.018,-0.609,
644020292,-0.03,0.019,-0.887,
644058816,0.099,0.102,-1.232,
644097340,0.149,0.057,-1.424,
644135864,0.164,0.03,-1.486,
644174389,0.098,-0.056,-1.284,
644212913,-0.083,0.003,-0.803,
644251437,-0.089,0.019,-0.611,
644289962,-0.029,0.103,-0.591,
644328485,0.066,0.111,-0.723,
644367010,0.127,0.132,-1.04,
644405534,0.147,0.106,-1.291,
644444058,0.065,0.021,-1.405,
644482582,0.026,-0.033,-1.401,
644521107,-0.03,-0.046,-1.163,
644559630,-0.033,0.039,-0.892,
644598154,0.027,0.015,-0.837,
644636679,0.056,0.01,-0.864,
644675203,0.012,0.122,-0.755,
644713727,0.039,0.111,-0.772,
644752251,0.007,0.121,-0.975,
644790776,0.002,0.076,-1.106,
644829300,0.055,0.043,-1.281,
644867824,-0.024,0.086,-1.316,
644906348,-0.042,0.163,-1.357,
644944872,-0.069,0.094,-1.008,
644983397,0.001,0.036,-0.7,
645021921,0.071,0.049,-0.516,
645060445,0.06,0.085,-0.513,
645098969,0.011,0.067,-0.92,
645137493,-0.102,0.106,-1.39,
645176017,-0.148,0.038,-1.708,
645214541,-0.086,-0.042,-1.511,
645253066,0.02,-0.063,-1.074,
645291590,0.09,-0.013,-0.641,
645330114,0.132,-0.005,-0.473,
645368638,0.093,0.035,-0.446,
645407162,0.039,0.041,-0.707,
645445686,-0.046,0.052,-1.181,
645484211,-0.138,0.085,-1.625,
645522735,-0.128,0.079,-1.61,
645561259,-0.022,0.009,-1.361,
645599783,0.056,-0.06,-0.889,
645638307,0.123,-0.069,-0.541,
645676831,0.111,0.005,-0.567,
645715356,0.063,0.038,-0.67,
645753880,-0.005,0.077,-0.891,
645792404,-0.066,0.113,-1.376,
645830928,-0.09,0.091,-1.555,
645869452,-0.056,0.004,-1.355,
645907976,0.028,-0.075,-1.076,
645946501,0.083,-0.04,-0.701,
645985025,0.105,0.036,-0.567,
646023549,0.07,0.077,-0.682,
646062073,0.002,0.094,-0.976,
646100597,-0.049,0.086,-1.336,
646139121,-0.086,0.059,-1.511,
646177645,-0.04,-0.002,-1.321,
646216170,0.047,-0.03,-1.042,
646254694,0.108,0.004,-0.704,
646293219,0.128,0.04,-0.516,
646331742,0.09,0.05,-0.573,
646370267,0.029,0.083,-0.962,
646408790,-0.051,0.131,-1.312,
646447315,-0.105,0.154,-1.496,
646485839,-0.094,0.138,-1.435,
646524364,0,0.044,-1.088,
646562887,0.082,-0.026,-0.779,
646601412,0.146,-0.208,-0.627,
646639936,0.142,-0.32,-0.715,
646678460,0.075,-0.182,-0.973,
646716984,-0.061,0.216,-1.14,
646755508,-0.148,0.448,-1.205,
646794032,-0.155,0.469,-1.2,
646832557,-0.131,0.439,-1.064,
646871081,-0.038,0.13,-0.941,
646909605,0.068,-0.209,-0.935,
646948129,0.129,-0.449,-0.917,
646986654,0.119,-0.345,-1.016,
647025178,0.025,0.021,-1.007,
647063702,-0.087,0.357,-1.008,
647102226,-0.147,0.487,-1.16,
647140750,-0.138,0.437,-1.127,
647179274,-0.069,0.19,-0.959,
647217798,0.061,-0.236,-0.946,
647256323,0.131,-0.446,-0.978,
647294847,0.113,-0.301,-0.946,
647333371,0.009,0.016,-0.971,
647371895,-0.115,0.246,-1.042,
647410419,-0.173,0.43,-1.187,
647448943,-0.162,0.462,-1.121,
647487468,-0.128,0.382,-0.987,
647525992,-0.006,-0.024,-0.95,
647564515,0.115,-0.324,-0.956,
647603040,0.127,-0.36,-0.956,
647641564,0.076,-0.204,-0.977,
647680088,-0.004,0.106,-1.036,
647718612,-0.085,0.39,-1.043,
647757137,-0.121,0.439,-1.115,
647795661,-0.122,0.448,-1.1,
647834185,-0.064,0.235,-1.005,
647872709,0.029,-0.136,-0.947,
647911233,0.11,-0.359,-0.974,
647949758,0.121,-0.288,-1.008,
647988282,0.037,0.037,-0.988,
648026806,-0.061,0.361,-1.022,
648065330,-0.121,0.485,-1.095,
648103854,-0.125,0.48,-1.084,
648142379,-0.052,0.223,-1.002,
648180902,0.044,-0.15,-0.94,
648219427,0.138,-0.414,-0.979,
648257951,0.135,-0.376,-0.966,
648296475,0.016,0.061,-0.96,
648334999,-0.115,0.471,-1.069,
648373523,-0.155,0.551,-1.199,
648412047,-0.128,0.473,-1.083,
648450572,-0.043,0.206,-0.95,
648489096,0.084,-0.217,-0.881,
648527620,0.149,-0.326,-0.963,
648566144,0.108,-0.167,-0.909,
648604668,0.015,0.048,-0.963,
648643193,-0.094,0.353,-1.138,
648681716,-0.147,0.482,-1.205,
648720241,-0.138,0.369,-1.087,
648758765,-0.044,0.049,-0.955,
648797289,0.086,-0.226,-0.893,
648835813,0.139,-0.243,-0.841,
648874337,0.094,-0.041,-0.924,
648912861,-0.017,0.289,-1.153,
648951386,-0.1,0.371,-1.295,
648989910,-0.109,0.304,-1.206,
649028434,-0.043,0.138,-1.034,
649066958,0.051,-0.072,-0.818,
649105482,0.123,-0.24,-0.739,
649144007,0.139,-0.219,-0.937,
649182531,0.061,-0.029,-0.984,
649221055,-0.012,0.328,-1.124,
649259579,-0.02,0.396,-1.293,
649298104,-0.043,0.238,-1.181,
649336627,0.025,0.098,-1.128,
649375152,0.072,0.062,-0.909,
649413676,0.083,0.016,-0.597,
649452200,0.091,0.046,-0.575,
649490724,0.048,0.108,-0.861,
649529249,0.032,0.156,-1.361,
649567772,-0.015,0.165,-1.457,
649606296,0.009,0.123,-1.418,
649644821,0.046,0.082,-1.136,
649683345,0.092,0.052,-0.779,
649721869,0.117,0.086,-0.506,
649760393,0.101,0.146,-0.508,
649798917,0.046,0.107,-0.767,
649837441,0.006,0.092,-1.247,
649875966,-0.009,0.069,-1.571,
649914490,-0.01,0.071,-1.515,
649953014,0.028,0.064,-1.205,
649991538,0.076,0.077,-0.838,
650030062,0.111,0.085,-0.536,
650068587,0.108,0.116,-0.462,
650107111,0.059,0.141,-0.717,
650145635,-0.003,0.159,-1.085,
650184159,-0.017,0.127,-1.472,
650222683,-0.002,0.041,-1.608,
650261208,0.006,0.005,-1.284,
650299732,0.057,0.046,-0.981,
650338256,0.059,0.087,-0.658,
650376780,0.062,0.115,-0.56,
650415304,0.053,0.137,-0.664,
650453828,0.001,0.133,-0.856,
650492352,0,0.139,-1.242,
650530876,-0.002,0.082,-1.432,
650569401,0.003,0.055,-1.42,
650607925,0.036,0.041,-1.216,
650646449,0.068,0.047,-0.902,
650684973,0.089,0.06,-0.66,
650723498,0.088,0.1,-0.61,
650762021,0.051,0.09,-0.707,
650800546,0.015,0.132,-1.073,
650839070,-0.001,0.132,-1.352,
650877594,0.011,0.064,-1.46,
