#Format version: 1.0
time[us],accX[g],accY[g],accZ[g],
874935519,-0.04,0.154,-0.983,
874974044,-0.039,0.156,-0.979,
875012568,-0.048,0.179,-0.968,
875051092,-0.034,0.184,-1.029,
875089617,-0.041,0.096,-1.172,
875128141,-0.101,0.112,-1.317,
875166665,-0.055,0.091,-1.346,
875205190,0.015,0.013,-1.245,
875243714,-0.208,0.039,-0.743,
875282238,-0.308,0.191,-0.283,
875320763,-0.136,0.161,-0.126,
875359287,0.161,0.184,-0.346,
875397811,0.283,0.467,-0.967,
875436335,0.165,0.118,-1.676,
875474860,-0.073,-0.347,-2.085,
875513385,0.038,-0.36,-1.971,
875551909,0.102,0.078,-1.319,
875590433,-0.203,0.225,-0.391,
875628957,-0.196,0.3,-0.057,
875667482,0.092,0.252,-0.203,
875706007,0.312,0.211,-0.724,
875744530,-0.041,-0.038,-1.219,
875783055,-0.119,0.033,-1.549,
875821580,-0.018,-0.104,-1.615,
875860103,-0.007,-0.343,-1.743,
875898628,0.091,-0.285,-1.205,
875937152,-0.113,-0.014,-1.141,
875975677,-0.015,-0.495,-1.12,
876014201,-0.062,-0.086,-0.186,
876052725,0.284,0.585,1.791,
876091249,0.108,-0.162,0.792,
876129774,-1.071,-0.153,-2.485,
876168298,-1.377,-0.084,-3.939,
876206823,-0.878,-0.008,-2.872,
876245347,-0.172,-0.473,-0.763,
876283871,0.366,-0.369,0.646,
876322396,0.7,0.248,1.763,
876360920,0.317,0.096,0.996,
876399444,-0.411,0.066,-0.927,
876437969,-0.952,0.132,-3.053,
876476493,-0.857,0.332,-3.513,
876515017,-0.405,0.009,-1.956,
876553542,0.086,-0.359,-0.051,
876592066,0.577,-0.041,1.545,
876630590,0.385,0.235,1.334,
876669114,-0.4,-0.117,-0.881,
876707639,-0.957,0.126,-3.191,
876746163,-0.872,0.279,-3.349,
876784687,-0.478,-0.059,-1.935,
876823212,0.121,-0.43,0.065,
876861736,0.674,-0.017,1.622,
876900261,0.356,0.072,0.912,
876938785,-0.346,-0.006,-1.118,
876977309,-0.908,0.317,-2.904,
877015833,-0.916,0.593,-2.973,
877054358,-0.518,0.119,-1.729,
877092882,0.169,-0.318,0.065,
877131406,0.642,-0.09,1.076,
877169930,0.404,-0.061,0.626,
877208454,-0.266,-0.025,-0.894,
877246979,-0.883,0.378,-2.681,
877285503,-0.921,0.648,-2.884,
877324027,-0.488,0.12,-1.711,
877362552,0.136,-0.378,-0.152,
877401076,0.573,-0.368,0.887,
877439600,0.404,-0.241,0.561,
877478124,-0.24,-0.142,-1.106,
877516649,-0.768,0.263,-2.716,
877555173,-0.769,0.333,-2.743,
877593697,-0.472,0.081,-1.502,
877632222,0.142,-0.396,0.028,
877670746,0.549,-0.344,1.098,
877709270,0.356,-0.203,0.696,
877747795,-0.357,-0.124,-0.959,
877786319,-0.993,0.43,-2.891,
877824843,-1.017,0.667,-3.066,
877863367,-0.673,0.453,-1.714,
877901892,-0.022,-0.027,-0.166,
877940416,0.488,-0.679,0.207,
877978940,0.504,-0.871,0.037,
878017464,0.367,-1.338,-0.368,
878055989,-0.163,-0.825,-1.088,
878094513,-0.792,0.748,-1.711,
878133037,-1.008,1.401,-2.07,
878171561,-1.073,1.645,-1.775,
878210085,-0.478,0.376,-0.898,
878248610,0.475,-2.049,0.022,
878287134,0.708,-1.762,-0.048,
878325659,-0.031,-0.171,-0.502,
878364182,-1.035,1.206,-1.921,
878402707,-1.285,1.783,-2.247,
878441231,-0.976,1.121,-1.452,
878479755,-0.169,-0.594,-0.499,
878518280,0.64,-2.081,0.007,
878556804,0.57,-1.167,-0.039,
878595328,-0.229,-0.227,-0.796,
878633852,-1.055,1.331,-2.041,
878672377,-1.23,1.822,-2.049,
878710901,-0.985,1.282,-1.186,
878749425,-0.116,-0.778,-0.569,
878787949,0.666,-2.091,-0.11,
878826474,0.61,-1.35,-0.109,
878864998,-0.209,-0.171,-0.822,
878903522,-1.034,1.128,-1.979,
878942046,-1.119,1.656,-2.003,
878980571,-0.765,0.999,-1.256,
879019095,0.067,-0.797,-0.493,
879057619,0.691,-1.598,-0.22,
879096144,0.416,-0.734,-0.313,
879134668,-0.401,0.452,-1.119,
879173192,-0.868,1.171,-1.902,
879211716,-0.82,1.201,-1.7,
879250240,-0.395,0.434,-0.925,
879288765,0.228,-0.69,-0.209,
879327289,0.594,-1.412,-0.202,
879365813,0.245,-0.712,-0.506,
879404337,-0.558,0.502,-1.286,
879442862,-1.11,1.575,-2.174,
879481386,-0.999,1.369,-1.643,
879519910,-0.409,0.344,-0.706,
879558434,0.289,-0.923,-0.164,
879596959,0.546,-1.318,-0.191,
879635483,0.23,-0.629,-0.854,
879674007,-0.271,0.401,-1.609,
879712531,-0.413,0.532,-1.991,
879751055,-0.268,0.353,-1.471,
879789580,0.013,0.227,-0.316,
879828104,0.318,-0.047,0.741,
879866628,0.034,-0.298,-0.056,
879905152,-0.574,0.167,-2.116,
879943677,-0.625,-0.035,-2.748,
879982201,-0.41,-0.038,-1.894,
880020725,-0.016,-0.182,-0.584,
880059249,0.413,-0.065,0.753,
880097773,0.331,-0.035,0.505,
