F1_VAR_on_ACC_V,class
2.466293163028155e-07,mirovanje
2.4538394760575954e-07,mirovanje
1.7877945723832056e-07,mirovanje
4.025996696022105e-07,mirovanje
1.0707693554046216e-06,mirovanje
2.729905010934175e-07,mirovanje
1.3036247592523864e-07,mirovanje
2.2338122973586394e-07,mirovanje
1.3165442847018483e-07,mirovanje
2.3984931973863866e-07,mirovanje
2.1334496858038676e-07,mirovanje
2.0199179706636983e-07,mirovanje
1.7792400686111876e-07,mirovanje
1.9232686399028864e-07,mirovanje
2.239820435789852e-07,mirovanje
2.470156319489547e-07,mirovanje
2.1608693634433962e-07,mirovanje
1.7976643729156194e-07,mirovanje
2.502192206765841e-07,mirovanje
2.4656127273203765e-07,mirovanje
2.252821247328285e-07,mirovanje
1.785019880795602e-07,mirovanje
2.3686227113017821e-07,mirovanje
2.3654482861346082e-07,mirovanje
2.4569974921284654e-07,mirovanje
2.477296949798813e-07,mirovanje
2.4756893313160333e-07,mirovanje
2.448707572266784e-07,mirovanje
2.4626766670365896e-07,mirovanje
2.530734666272849e-07,mirovanje
2.416840203522952e-07,mirovanje
2.2586991166306802e-07,mirovanje
2.4109893281831773e-07,mirovanje
2.4725173841666503e-07,mirovanje
2.349033894066821e-07,mirovanje
2.45674404153462e-07,mirovanje
2.4842346468822996e-07,mirovanje
2.2700569490829992e-07,mirovanje
2.449630338574593e-07,mirovanje
2.2648041730910506e-07,mirovanje
2.4978005619402666e-07,mirovanje
2.2830073342916535e-07,mirovanje
2.4842346513231917e-07,mirovanje
2.4574360790730054e-07,mirovanje
2.5076875354024253e-07,mirovanje
2.1554745943674902e-07,mirovanje
2.3641005797436776e-07,mirovanje
2.3391676284845175e-07,mirovanje
2.3750238331565754e-07,mirovanje
1.5416373022603125e-07,mirovanje
2.495342270592005e-07,mirovanje
2.3620461497841916e-07,mirovanje
2.499518234611031e-07,mirovanje
2.5054505248256476e-07,mirovanje
2.509931722460834e-07,mirovanje
2.491407766758158e-07,mirovanje
1.9851194132947114e-07,mirovanje
2.4914656693297843e-07,mirovanje
2.5081921317671174e-07,mirovanje
2.230854252438519e-07,mirovanje
0.256451198750973,velika_jakost
1.1918942990122336,velika_jakost
1.0293003995621546,velika_jakost
0.5689617519490024,velika_jakost
0.4849488920212286,velika_jakost
0.8396363990899536,velika_jakost
0.6201024630104675,velika_jakost
0.2451725748990894,velika_jakost
0.1538014389798288,velika_jakost
0.37425348091906097,velika_jakost
0.5182572232891705,velika_jakost
0.3480426817181965,velika_jakost
0.8115067232967563,velika_jakost
0.6440393256179897,velika_jakost
0.10442638096353885,velika_jakost
0.1330492127410241,velika_jakost
0.781979073977197,velika_jakost
0.7378801145093243,velika_jakost
0.4570705142392151,velika_jakost
0.3131418982694898,velika_jakost
0.19691197730927734,velika_jakost
0.826044266643114,velika_jakost
0.7284551128741812,velika_jakost
0.23822332561526216,velika_jakost
0.13900901336534588,velika_jakost
0.09678632050894942,velika_jakost
0.05326803539469349,velika_jakost
0.061562204881209226,velika_jakost
