#Format version: 1.0
time[us],accX[g],accY[g],accZ[g],
415097204,0.027,-0.006,-1.019,
415135728,0.028,-0.006,-1.018,
415174251,0.028,-0.006,-1.019,
415212775,0.027,-0.006,-1.019,
415251299,0.028,-0.006,-1.019,
415289823,0.028,-0.006,-1.019,
415328346,0.027,-0.006,-1.019,
415366870,0.027,-0.006,-1.019,
415405394,0.027,-0.006,-1.019,
415443917,0.027,-0.005,-1.019,
415482441,0.027,-0.006,-1.018,
415520964,0.027,-0.006,-1.018,
415559489,0.027,-0.006,-1.018,
415598012,0.028,-0.006,-1.018,
415636536,0.027,-0.006,-1.019,
415675060,0.027,-0.006,-1.019,
415713583,0.027,-0.006,-1.019,
415752107,0.027,-0.006,-1.019,
415790631,0.027,-0.006,-1.019,
415829155,0.027,-0.006,-1.019,
415867678,0.028,-0.006,-1.019,
415906202,0.027,-0.006,-1.018,
415944726,0.027,-0.006,-1.019,
415983249,0.027,-0.006,-1.019,
416021773,0.027,-0.006,-1.018,
416060296,0.027,-0.006,-1.018,
416098820,0.028,-0.006,-1.019,
416137344,0.027,-0.006,-1.019,
416175868,0.027,-0.006,-1.019,
416214391,0.027,-0.006,-1.019,
416252915,0.027,-0.006,-1.019,
416291439,0.027,-0.006,-1.018,
416329962,0.027,-0.006,-1.018,
416368486,0.027,-0.006,-1.019,
416407010,0.027,-0.006,-1.019,
416445533,0.027,-0.006,-1.019,
416484057,0.027,-0.006,-1.018,
416522581,0.027,-0.006,-1.019,
416561105,0.027,-0.006,-1.019,
416599629,0.027,-0.006,-1.019,
416638152,0.027,-0.006,-1.018,
416676676,0.028,-0.006,-1.019,
416715200,0.027,-0.006,-1.019,
416753723,0.027,-0.006,-1.019,
416792247,0.027,-0.006,-1.019,
416830770,0.027,-0.006,-1.018,
416869294,0.027,-0.006,-1.019,
416907818,0.027,-0.006,-1.018,
416946342,0.028,-0.006,-1.019,
416984865,0.027,-0.007,-1.019,
417023389,0.027,-0.006,-1.018,
417061913,0.028,-0.006,-1.018,
417100437,0.027,-0.006,-1.019,
417138960,0.027,-0.006,-1.019,
417177483,0.027,-0.006,-1.019,
417216008,0.027,-0.006,-1.018,
417254531,0.027,-0.006,-1.018,
417293055,0.027,-0.006,-1.019,
417331579,0.028,-0.006,-1.019,
417370102,0.027,-0.006,-1.019,
417408626,0.028,-0.006,-1.019,
417447150,0.027,-0.006,-1.019,
417485674,0.027,-0.006,-1.019,
417524197,0.027,-0.006,-1.019,
417562721,0.028,-0.006,-1.018,
417601244,0.028,-0.006,-1.018,
417639768,0.027,-0.006,-1.019,
417678291,0.027,-0.006,-1.019,
417716816,0.027,-0.006,-1.019,
417755339,0.028,-0.007,-1.019,
417793863,0.027,-0.006,-1.019,
417832387,0.027,-0.006,-1.019,
417870911,0.028,-0.006,-1.019,
417909434,0.027,-0.006,-1.019,
417947958,0.027,-0.006,-1.018,
417986482,0.027,-0.006,-1.018,
418025005,0.027,-0.006,-1.019,
418063529,0.027,-0.006,-1.019,
418102053,0.028,-0.006,-1.019,
418140576,0.028,-0.006,-1.019,
418179100,0.027,-0.006,-1.018,
418217624,0.027,-0.006,-1.019,
418256148,0.027,-0.006,-1.019,
418294671,0.027,-0.006,-1.018,
418333195,0.027,-0.006,-1.019,
418371718,0.028,-0.006,-1.019,
418410242,0.027,-0.006,-1.018,
418448766,0.027,-0.006,-1.019,
418487290,0.027,-0.006,-1.019,
418525813,0.028,-0.006,-1.019,
418564337,0.028,-0.006,-1.019,
418602861,0.027,-0.006,-1.018,
418641384,0.027,-0.006,-1.019,
418679908,0.027,-0.006,-1.018,
418718432,0.027,-0.006,-1.019,
418756955,0.027,-0.006,-1.018,
418795479,0.027,-0.006,-1.019,
418834002,0.027,-0.006,-1.019,
418872527,0.027,-0.006,-1.019,
418911050,0.027,-0.006,-1.018,
418949574,0.027,-0.006,-1.019,
418988098,0.027,-0.005,-1.018,
419026621,0.027,-0.007,-1.018,
419065145,0.027,-0.006,-1.018,
419103669,0.027,-0.007,-1.018,
419142193,0.027,-0.006,-1.018,
419180716,0.028,-0.005,-1.019,
419219240,0.026,-0.007,-1.019,
419257763,0.027,-0.006,-1.018,
419296287,0.027,-0.006,-1.019,
419334811,0.027,-0.006,-1.019,
419373335,0.027,-0.006,-1.019,
419411858,0.027,-0.006,-1.018,
419450382,0.027,-0.007,-1.018,
419488906,0.027,-0.006,-1.019,
419527429,0.027,-0.006,-1.018,
419565953,0.027,-0.006,-1.018,
419604477,0.027,-0.006,-1.019,
419643000,0.027,-0.006,-1.018,
419681524,0.027,-0.007,-1.018,
419720048,0.027,-0.006,-1.018,
419758572,0.027,-0.006,-1.019,
419797095,0.027,-0.006,-1.019,
419835619,0.027,-0.006,-1.019,
419874143,0.027,-0.006,-1.019,
419912667,0.027,-0.006,-1.019,
419951190,0.027,-0.006,-1.018,
419989714,0.027,-0.006,-1.019,
420028237,0.027,-0.006,-1.019,
420066761,0.027,-0.006,-1.019,
420105285,0.027,-0.007,-1.018,
420143809,0.027,-0.006,-1.018,
420182332,0.027,-0.006,-1.018,
420220856,0.027,-0.007,-1.018,
420259380,0.027,-0.006,-1.019,
420297903,0.027,-0.006,-1.019,
420336427,0.027,-0.006,-1.019,
420374951,0.027,-0.006,-1.019,
420413475,0.027,-0.006,-1.018,
420451998,0.026,-0.006,-1.019,
420490522,0.027,-0.006,-1.019,
420529046,0.027,-0.006,-1.019,
420567569,0.027,-0.007,-1.019,
420606093,0.028,-0.006,-1.019,
420644617,0.027,-0.006,-1.019,
420683141,0.027,-0.006,-1.019,
420721664,0.026,-0.007,-1.019,
420760188,0.027,-0.006,-1.019,
420798711,0.027,-0.006,-1.018,
420837236,0.027,-0.006,-1.019,
420875759,0.027,-0.006,-1.019,
420914283,0.028,-0.006,-1.019,
420952807,0.027,-0.006,-1.018,
420991330,0.027,-0.006,-1.019,
421029853,0.027,-0.006,-1.019,
421068378,0.027,-0.006,-1.019,
421106901,0.027,-0.006,-1.018,
421145424,0.027,-0.006,-1.018,
421183949,0.027,-0.006,-1.019,
421222473,0.027,-0.007,-1.019,
421260996,0.027,-0.006,-1.019,
421299519,0.027,-0.006,-1.019,
421338044,0.027,-0.006,-1.019,
421376567,0.027,-0.006,-1.019,
421415091,0.027,-0.006,-1.018,
421453615,0.027,-0.006,-1.019,
421492138,0.028,-0.006,-1.019,
421530662,0.027,-0.006,-1.019,
421569186,0.027,-0.007,-1.019,
421607709,0.026,-0.006,-1.018,
421646233,0.027,-0.006,-1.019,
421684757,0.027,-0.006,-1.019,
421723280,0.027,-0.006,-1.019,
421761804,0.027,-0.006,-1.018,
421800328,0.027,-0.006,-1.018,
421838851,0.027,-0.006,-1.019,
421877376,0.026,-0.006,-1.019,
421915899,0.027,-0.006,-1.019,
421954422,0.027,-0.006,-1.019,
421992946,0.027,-0.006,-1.019,
422031470,0.027,-0.006,-1.018,
422069994,0.027,-0.006,-1.018,
422108517,0.027,-0.006,-1.019,
422147041,0.027,-0.006,-1.019,
422185565,0.027,-0.006,-1.019,
422224089,0.026,-0.006,-1.019,
422262612,0.027,-0.006,-1.019,
422301136,0.027,-0.006,-1.018,
422339660,0.027,-0.006,-1.019,
422378183,0.027,-0.006,-1.019,
422416707,0.027,-0.006,-1.018,
422455230,0.027,-0.006,-1.019,
422493754,0.027,-0.007,-1.018,
422532278,0.027,-0.007,-1.019,
422570802,0.027,-0.007,-1.019,
422609326,0.027,-0.006,-1.018,
422647849,0.027,-0.007,-1.019,
422686373,0.027,-0.006,-1.019,
422724897,0.027,-0.006,-1.019,
422763421,0.027,-0.006,-1.018,
422801944,0.027,-0.006,-1.018,
422840468,0.027,-0.006,-1.019,
422878992,0.027,-0.007,-1.019,
422917515,0.028,-0.006,-1.019,
422956039,0.027,-0.007,-1.019,
422994563,0.027,-0.006,-1.019,
423033087,0.027,-0.007,-1.019,
423071610,0.027,-0.006,-1.019,
423110133,0.027,-0.007,-1.019,
423148658,0.027,-0.007,-1.019,
423187181,0.027,-0.007,-1.018,
423225705,0.026,-0.006,-1.019,
423264228,0.027,-0.006,-1.019,
423302752,0.027,-0.006,-1.018,
423341276,0.027,-0.006,-1.019,
423379799,0.027,-0.006,-1.018,
423418323,0.026,-0.006,-1.019,
423456847,0.026,-0.006,-1.019,
423495371,0.027,-0.006,-1.019,
423533894,0.027,-0.007,-1.018,
423572418,0.027,-0.006,-1.019,
423610941,0.027,-0.006,-1.019,
423649466,0.027,-0.007,-1.019,
423687990,0.027,-0.006,-1.019,
423726512,0.027,-0.006,-1.018,
423765036,0.027,-0.006,-1.018,
423803560,0.027,-0.006,-1.019,
423842084,0.027,-0.006,-1.019,
423880608,0.027,-0.006,-1.018,
423919131,0.027,-0.006,-1.018,
423957655,0.027,-0.006,-1.019,
423996179,0.027,-0.006,-1.019,
424034703,0.027,-0.007,-1.019,
424073227,0.027,-0.006,-1.018,
424111750,0.027,-0.006,-1.018,
424150274,0.026,-0.007,-1.019,
424188797,0.027,-0.006,-1.019,
424227321,0.027,-0.006,-1.019,
424265845,0.027,-0.006,-1.018,
424304369,0.027,-0.006,-1.019,
424342892,0.026,-0.006,-1.019,
424381416,0.027,-0.006,-1.019,
424419939,0.027,-0.006,-1.018,
424458463,0.027,-0.007,-1.019,
424496987,0.027,-0.006,-1.018,
424535511,0.027,-0.006,-1.019,
424574035,0.027,-0.006,-1.019,
424612558,0.027,-0.006,-1.019,
424651082,0.027,-0.006,-1.019,
424689605,0.027,-0.006,-1.018,
424728129,0.027,-0.006,-1.018,
424766653,0.027,-0.007,-1.018,
424805177,0.027,-0.007,-1.019,
424843700,0.027,-0.006,-1.019,
424882224,0.027,-0.006,-1.019,
424920748,0.027,-0.006,-1.019,
424959272,0.027,-0.006,-1.018,
424997795,0.027,-0.007,-1.018,
425036319,0.027,-0.006,-1.019,
425074843,0.027,-0.006,-1.018,
425113366,0.027,-0.006,-1.019,
425151890,0.027,-0.006,-1.019,
425190413,0.027,-0.006,-1.018,
425228937,0.027,-0.006,-1.018,
425267461,0.027,-0.006,-1.019,
425305985,0.027,-0.007,-1.019,
425344509,0.027,-0.007,-1.019,
425383032,0.027,-0.006,-1.019,
425421556,0.027,-0.006,-1.019,
425460080,0.027,-0.006,-1.019,
425498603,0.027,-0.006,-1.02,
425537127,0.027,-0.006,-1.018,
425575651,0.027,-0.006,-1.018,
425614174,0.027,-0.006,-1.019,
425652698,0.027,-0.007,-1.018,
425691222,0.028,-0.007,-1.019,
425729746,0.027,-0.006,-1.019,
425768269,0.027,-0.007,-1.019,
425806793,0.027,-0.007,-1.018,
425845317,0.027,-0.006,-1.019,
425883840,0.027,-0.006,-1.018,
425922364,0.026,-0.006,-1.019,
425960888,0.027,-0.006,-1.018,
425999412,0.027,-0.006,-1.019,
426037935,0.027,-0.006,-1.018,
426076459,0.027,-0.006,-1.018,
426114982,0.027,-0.006,-1.019,
426153506,0.027,-0.006,-1.018,
426192030,0.027,-0.007,-1.018,
426230554,0.027,-0.006,-1.019,
426269078,0.027,-0.007,-1.019,
426307601,0.027,-0.006,-1.019,
426346124,0.027,-0.006,-1.018,
426384648,0.027,-0.006,-1.018,
426423172,0.027,-0.006,-1.019,
426461696,0.027,-0.006,-1.019,
426500220,0.027,-0.006,-1.019,
426538743,0.027,-0.006,-1.019,
426577267,0.027,-0.006,-1.019,
426615791,0.026,-0.007,-1.019,
426654314,0.027,-0.006,-1.019,
426692838,0.027,-0.006,-1.019,
426731362,0.027,-0.006,-1.019,
426769886,0.027,-0.007,-1.018,
426808409,0.026,-0.006,-1.02,
426846932,0.027,-0.007,-1.018,
426885456,0.027,-0.006,-1.019,
426923980,0.027,-0.006,-1.018,
426962504,0.027,-0.006,-1.019,
427001028,0.027,-0.007,-1.018,
427039551,0.027,-0.006,-1.019,
427078075,0.027,-0.006,-1.018,
427116599,0.027,-0.006,-1.019,
427155122,0.027,-0.006,-1.019,
427193646,0.027,-0.006,-1.019,
427232170,0.027,-0.006,-1.019,
427270693,0.027,-0.006,-1.019,
427309217,0.027,-0.006,-1.019,
427347741,0.027,-0.006,-1.018,
427386265,0.027,-0.006,-1.019,
427424788,0.027,-0.006,-1.018,
427463312,0.027,-0.006,-1.019,
427501836,0.028,-0.006,-1.018,
427540360,0.027,-0.006,-1.019,
427578883,0.027,-0.006,-1.019,
427617407,0.027,-0.006,-1.019,
427655931,0.027,-0.006,-1.019,
427694454,0.027,-0.007,-1.019,
427732978,0.027,-0.007,-1.018,
427771501,0.027,-0.006,-1.019,
427810025,0.027,-0.006,-1.019,
427848549,0.027,-0.006,-1.019,
427887073,0.027,-0.006,-1.019,
427925596,0.027,-0.007,-1.019,
427964120,0.027,-0.006,-1.019,
428002644,0.027,-0.007,-1.018,
428041168,0.027,-0.006,-1.019,
428079691,0.026,-0.006,-1.019,
