#Format version: 1.0
time[us],accX[g],accY[g],accZ[g],
651556054,-0.112,0.126,-1.023,
651594578,-0.114,0.133,-1.001,
651633101,-0.11,0.141,-0.999,
651671626,-0.104,0.129,-1.018,
651710149,-0.12,0.111,-0.996,
651748673,-0.102,0.141,-1.014,
651787197,-0.115,0.108,-1.016,
651825722,-0.128,0.068,-1.013,
651864245,-0.119,0.08,-1.023,
651902769,-0.13,0.125,-1.02,
651941293,-0.133,0.16,-1.039,
651979817,-0.146,0.134,-1.122,
652018341,-0.15,0.072,-1.114,
652056865,-0.083,0.055,-1.175,
652095389,-0.055,0.085,-1.079,
652133913,-0.066,0.041,-0.895,
652172437,-0.039,-0.003,-1.017,
652210961,-0.041,0.283,-0.69,
652249485,-0.063,0.218,-0.582,
652288009,-0.124,0.089,-0.715,
652326532,-0.105,0.113,-0.874,
652365056,-0.097,0.132,-1.003,
652403580,-0.12,0.121,-1.114,
652442104,-0.129,0.128,-1.186,
652480628,-0.133,0.117,-1.308,
652519152,-0.129,0.07,-1.443,
652557676,-0.134,0.062,-1.396,
652596200,-0.112,0.053,-1.234,
652634724,-0.084,0.061,-1.07,
652673248,-0.065,0.063,-0.873,
652711772,-0.055,0.127,-0.728,
652750295,-0.038,0.097,-0.598,
652788819,0.012,0.099,-0.523,
652827343,0.009,0.119,-0.566,
652865867,-0.024,0.063,-0.753,
652904391,-0.037,0.093,-1.043,
652942915,-0.074,-0.004,-1.289,
652981439,-0.125,-0.02,-1.446,
653019963,-0.121,-0.065,-1.511,
653058487,-0.079,-0.106,-1.474,
653097011,-0.087,-0.056,-1.316,
653135535,-0.084,0.003,-1.12,
653174058,-0.064,0.056,-0.943,
653212582,-0.04,0.083,-0.778,
653251107,-0.033,0.175,-0.642,
653289630,-0.021,0.148,-0.566,
653328154,0.003,0.12,-0.516,
653366678,-0.004,0.122,-0.59,
653405202,-0.046,0.134,-0.843,
653443726,-0.094,0.083,-1.166,
653482250,-0.11,0.043,-1.446,
653520774,-0.104,0.064,-1.584,
653559297,-0.084,0.052,-1.553,
653597821,-0.065,0.002,-1.377,
653636346,-0.064,0.045,-1.153,
653674870,-0.058,0.069,-0.948,
653713393,-0.029,0.092,-0.784,
653751917,-0.01,0.134,-0.674,
653790441,0.007,0.135,-0.594,
653828965,0.03,0.117,-0.534,
653867489,0.005,0.145,-0.588,
653906013,-0.031,0.14,-0.763,
653944537,-0.037,0.092,-0.985,
653983061,-0.07,0.06,-1.241,
654021585,-0.088,0.08,-1.463,
654060109,-0.077,0.033,-1.613,
654098633,-0.063,0.005,-1.56,
654137157,-0.032,0,-1.356,
654175680,-0.045,0.007,-1.105,
654214205,-0.033,0.071,-0.872,
654252728,0.011,0.108,-0.709,
654291252,0.03,0.089,-0.624,
654329776,0.039,0.061,-0.554,
654368301,0.052,0.092,-0.547,
654406824,0.008,0.105,-0.708,
654445348,-0.03,0.151,-0.899,
654483872,-0.05,0.142,-1.091,
654522396,-0.091,0.155,-1.302,
654560920,-0.091,0.187,-1.499,
654599444,-0.071,0.094,-1.521,
654637968,-0.058,0.053,-1.381,
654676492,-0.059,0.031,-1.213,
654715016,-0.039,0.073,-1.043,
654753539,-0.02,0.093,-0.899,
654792064,-0.012,0.07,-0.793,
654830587,0.002,0.082,-0.704,
654869112,0.031,0.064,-0.637,
654907635,0.035,0.075,-0.63,
654946159,-0.006,0.12,-0.716,
654984684,-0.024,0.145,-0.885,
655023207,-0.026,0.126,-1.089,
655061731,-0.041,0.101,-1.268,
655100255,-0.064,0.075,-1.396,
655138779,-0.062,0.026,-1.458,
655177303,-0.039,-0.004,-1.385,
655215827,-0.034,-0.002,-1.241,
655254351,-0.036,0.072,-1.075,
655292874,-0.024,0.136,-0.933,
655331399,0.01,0.135,-0.832,
655369923,0.02,0.149,-0.747,
655408447,0.019,0.17,-0.676,
655446971,0.027,0.143,-0.647,
655485494,0.023,0.162,-0.684,
655524018,-0.015,0.179,-0.817,
655562543,-0.031,0.12,-1.006,
655601066,-0.042,0.096,-1.188,
655639590,-0.072,0.066,-1.338,
655678114,-0.073,0.06,-1.428,
655716638,-0.047,0.028,-1.408,
655755162,-0.036,0.009,-1.291,
655793686,-0.029,0.026,-1.111,
655832210,-0.013,0.091,-0.915,
655870734,-0.005,0.154,-0.763,
655909257,0.064,0.16,-0.691,
655947781,0.157,0.122,-0.706,
655986305,0.239,0.129,-0.779,
656024829,0.231,0.134,-0.926,
656063353,0.091,0.146,-1.065,
656101878,-0.079,0.184,-1.133,
656140402,-0.174,0.129,-1.163,
656178925,-0.25,0.106,-1.14,
656217449,-0.331,0.099,-1.1,
656255973,-0.342,0.103,-1.057,
656294497,-0.257,0.119,-1.016,
656333021,-0.13,0.082,-0.983,
656371545,0.066,0.095,-0.942,
656410069,0.224,0.079,-0.943,
656448593,0.289,0.063,-0.994,
656487116,0.339,0.066,-1.008,
656525641,0.304,0.101,-1,
656564165,0.142,0.132,-1.016,
656602689,-0.038,0.136,-1.036,
656641212,-0.161,0.089,-1.057,
656679736,-0.25,0.085,-1.081,
656718260,-0.338,0.109,-1.076,
656756785,-0.334,0.098,-1.029,
656795308,-0.237,0.113,-0.987,
656833832,-0.104,0.126,-0.956,
656872357,0.047,0.089,-0.967,
656910880,0.169,0.11,-0.996,
656949404,0.259,0.109,-1.006,
656987929,0.313,0.091,-1.026,
657026452,0.295,0.08,-1.016,
657064976,0.186,0.135,-1.009,
657103500,0.055,0.119,-1.019,
657142024,-0.063,0.099,-1.03,
657180548,-0.199,0.093,-1.055,
657219072,-0.331,0.102,-1.074,
657257596,-0.365,0.1,-1.05,
657296119,-0.32,0.106,-1.011,
657334644,-0.172,0.096,-0.984,
657373168,0.02,0.081,-0.982,
657411692,0.186,0.096,-0.985,
657450216,0.339,0.07,-1.012,
657488739,0.416,0.066,-0.984,
657527263,0.37,0.108,-0.954,
657565787,0.21,0.128,-0.969,
657604311,0.02,0.113,-1.025,
657642835,-0.159,0.046,-1.097,
657681359,-0.307,0.05,-1.128,
657719883,-0.401,0.035,-1.129,
657758407,-0.371,0.023,-1.077,
657796931,-0.251,0.083,-0.97,
657835455,-0.085,0.101,-0.925,
657873979,0.031,0.04,-0.95,
657912503,0.191,0.053,-1.005,
657951027,0.353,0.074,-1.063,
657989551,0.358,0.083,-1.066,
658028075,0.25,0.078,-1.042,
658066599,0.108,0.105,-1.014,
658105123,-0.067,0.093,-1.018,
658143647,-0.208,0.049,-1.051,
658182171,-0.284,0.053,-1.053,
658220695,-0.304,0.058,-1.044,
658259219,-0.258,0.061,-1.011,
658297743,-0.183,0.081,-0.981,
658336267,-0.055,0.072,-0.978,
658374791,0.076,0.031,-0.996,
658413314,0.169,0.055,-1.011,
658451839,0.226,0.078,-1.017,
658490362,0.224,0.072,-1.021,
658528886,0.149,0.092,-1.02,
658567410,0.02,0.108,-1.019,
658605935,-0.095,0.101,-1.017,
658644458,-0.135,0.063,-0.993,
658682983,-0.155,0.073,-0.957,
658721506,-0.172,0.084,-0.971,
658760030,-0.143,0.066,-1.053,
658798554,-0.102,0.027,-1.165,
658837078,-0.04,0.041,-1.181,
658875602,0.024,0.062,-1.135,
658914126,0.099,0.147,-1.053,
658952650,0.105,0.118,-0.956,
658991174,0.03,0.119,-0.91,
659029698,-0.127,0.116,-0.991,
659068222,-0.088,0.225,-0.889,
659106746,-0.108,0.02,-0.949,
659145270,-0.016,-0.1,-0.946,
659183794,0.055,-0.234,-0.996,
659222318,0.145,-0.27,-0.981,
659260842,0.053,-0.184,-1.053,
659299366,-0.107,0.095,-1.087,
659337890,-0.108,0.303,-1.02,
659376414,-0.192,0.537,-1.095,
659414937,-0.192,0.54,-1.062,
659453462,-0.095,0.492,-0.964,
659491985,-0.013,0.188,-0.922,
659530510,0.012,-0.015,-0.95,
659569033,-0.02,-0.185,-1,
659607558,-0.087,-0.233,-1.058,
659646081,-0.045,-0.222,-1.011,
659684605,-0.021,-0.164,-0.997,
659723130,-0.004,-0.008,-0.991,
659761654,-0.048,0.136,-1.015,
659800177,-0.076,0.268,-1.04,
659838701,-0.074,0.402,-1.064,
659877226,-0.023,0.439,-1.091,
659915749,0.025,0.391,-0.992,
659954273,-0.011,0.179,-1.007,
659992797,0.013,0.036,-0.958,
660031321,-0.044,-0.08,-0.99,
660069845,-0.051,-0.215,-0.985,
660108369,-0.064,-0.276,-1.012,
660146893,0.001,-0.207,-0.964,
660185417,0.005,-0.06,-0.987,
660223941,-0.014,0.072,-1.033,
660262465,-0.013,0.167,-1.063,
660300989,-0.015,0.278,-1.089,
660339513,0.021,0.329,-1.094,
660378037,0.054,0.316,-1.039,
660416561,0.014,0.222,-1.029,
660455085,0.022,0.123,-0.993,
660493609,0.022,-0.012,-0.966,
660532133,-0.061,-0.154,-1.024,
660570657,-0.002,-0.21,-0.962,
660609181,-0.035,-0.29,-0.983,
660647705,-0.006,-0.182,-0.958,
660686229,0.002,-0.06,-0.984,
660724753,0.005,0.01,-1.037,
660763277,0.017,0.098,-1.08,
660801801,0.024,0.216,-1.103,
660840325,0.004,0.288,-1.152,
660878849,0.09,0.321,-1.04,
660917373,0.042,0.307,-1.021,
660955897,0.021,0.142,-0.976,
660994421,0.006,-0.031,-0.971,
661032945,0,-0.108,-0.951,
661071469,-0.027,-0.198,-0.958,
661109993,0.005,-0.264,-0.938,
661148517,0.021,-0.22,-0.957,
661187041,-0.003,-0.132,-1.036,
661225564,-0.02,0.023,-1.086,
661264089,0.012,0.137,-1.099,
661302613,0.019,0.225,-1.126,
661341137,0.04,0.335,-1.114,
661379661,0.045,0.358,-1.059,
