#Format version: 1.0
time[us],accX[g],accY[g],accZ[g],
754300827,0.012,-0.001,-1.021,
754339352,0.011,0.008,-1.014,
754377877,0.015,-0.007,-1.026,
754416402,0.005,-0.002,-1.008,
754454927,0.003,0.01,-1.011,
754493452,-0.009,0.068,-1.062,
754531977,-0.063,0.098,-1.131,
754570502,-0.095,0.058,-1.268,
754609027,-0.058,-0.284,-1.703,
754647552,0.042,-0.017,-1.728,
754686077,-0.012,0.094,-1.031,
754724602,0.016,0.246,-0.617,
754763127,-0.02,0.285,-0.349,
754801652,-0.144,0.282,0.061,
754840178,-0.097,0.188,0.142,
754878702,-0.107,-0.161,-0.033,
754917227,0.084,0.026,-0.831,
754955753,0.523,0.188,-2.345,
754994278,0.192,-0.002,-2.587,
755032802,-0.064,-0.241,-2.219,
755071328,0.019,-0.18,-1.583,
755109853,-0.078,0.047,-1.026,
755148378,-0.168,0.113,-0.591,
755186903,-0.121,0.187,-0.12,
755225428,-0.189,0.339,0.353,
755263953,-0.059,0.087,0.369,
755302477,-0.125,0.134,0.343,
755341003,0.228,-0.005,-0.988,
755379528,0.443,0.128,-2.877,
755418053,0.188,-0.599,-3.509,
755456578,0.068,-0.395,-2.765,
755495103,0.086,-0.142,-1.576,
755533628,-0.157,-0.003,-0.404,
755572153,-0.224,0.127,0.325,
755610678,-0.203,0.587,0.667,
755649203,-0.062,0.363,0.797,
755687728,-0.002,0.13,0.68,
755726253,-0.011,-0.225,0.276,
755764781,0.39,-0.373,-1.67,
755803303,0.606,-0.362,-3.872,
755841828,0.299,-0.55,-3.739,
755880353,0.052,-0.282,-2.341,
755918878,-0.004,-0.028,-1.244,
755957403,-0.171,-0.022,-0.284,
755995928,-0.094,0.246,0.151,
756034453,0.035,0.304,0.565,
756072978,-0.128,0.041,1.345,
756111504,-0.212,-0.431,1.475,
756150028,0.266,-0.326,-0.227,
756188553,0.748,0.325,-3.264,
756227078,0.832,0.017,-3.994,
756265604,0.467,-0.361,-3.437,
756304128,0.099,-0.515,-1.467,
756342654,0,-0.454,-0.208,
756381179,-0.256,-0.088,0.878,
756419703,-0.23,0.551,1.138,
756458228,0.002,0.315,1.032,
756496754,-0.082,-0.035,1.22,
756535279,0.002,-0.235,0.504,
756573804,0.339,-0.048,-2.061,
756612329,0.516,-0.018,-3.977,
756650853,0.269,-0.517,-3.922,
756689379,-0.066,-0.717,-1.945,
756727903,-0.248,-0.291,-0.244,
756766428,-0.211,0.009,0.532,
756804954,-0.095,0.6,1.025,
756843479,0.01,0.361,1.19,
756882004,-0.133,0.087,1.373,
756920529,-0.042,-0.292,0.617,
756959054,0.299,-0.386,-1.668,
756997579,0.564,0.129,-3.944,
757036104,0.321,-0.108,-3.944,
757074629,-0.068,-0.602,-2.328,
757113154,-0.254,-0.262,-0.625,
757151679,-0.075,0.206,0.236,
757190204,0.127,0.157,1.094,
757228729,0.286,0.095,1.187,
757267254,0.423,-0.15,0.971,
757305780,0.989,0.535,-0.806,
757344304,1.377,0.813,-2.791,
757382829,0.433,0.645,-2.838,
757421354,-1.015,-0.609,-1.731,
757459879,-2.857,-1.128,-0.632,
757498404,-2.414,-1.384,-0.493,
757536930,-0.557,-0.289,-0.918,
757575455,1.113,0.296,-0.84,
757613979,2.314,0.862,-1.222,
757652505,2.744,0.968,-1.524,
757691029,2.178,0.662,-0.94,
757729555,1.268,0.368,-0.755,
757768080,-0.223,0.105,-0.482,
757806605,-2.412,-1.047,-0.889,
757845130,-3.607,-2.473,0.033,
757883655,-2.138,-1.21,-0.107,
757922180,0.332,0.039,-1.075,
757960705,1.936,0.478,-1.324,
757999230,2.633,1.009,-1.354,
758037755,2.48,1.125,-1.449,
758076280,1.503,0.594,-0.724,
758114805,0.589,0.191,-0.717,
758153330,-0.379,-0.302,-0.866,
758191855,-2.004,-1.049,-0.85,
758230381,-3.006,-1.993,-0.147,
758268905,-1.964,-1.181,-0.007,
758307431,0.483,0.146,-1.374,
758345955,2.039,0.958,-1.966,
758384481,2.44,1.03,-1.649,
758423005,2.285,0.595,-1.181,
758461530,1.397,0.493,-0.636,
758500056,0.164,0.19,-0.584,
758538580,-1.529,-0.699,-0.857,
758577106,-3.214,-1.762,-0.544,
758615631,-2.717,-1.78,0.349,
758654156,-0.38,-0.28,-0.142,
758692681,1.506,0.662,-1.304,
758731206,2.549,1.019,-3.413,
758769731,1.774,-0.109,-3.184,
758808256,0.736,-0.859,-1.81,
758846781,0.433,-0.519,-0.553,
758885306,0.215,0.175,0.723,
758923831,-0.615,0.419,1.756,
758962356,-0.975,-0.052,1.675,
759000881,-0.679,0.013,0.019,
759039406,0.367,0.097,-3.142,
759077932,0.607,-0.53,-3.987,
759116456,0.384,-0.883,-3.083,
759154981,0.54,0.286,-1.194,
759193507,0.732,1.435,0.526,
759232031,0.747,1.465,1.159,
759270557,0.299,0.172,1.463,
759309082,-0.319,-0.866,-0.016,
759347607,-0.918,-2.221,-1.549,
759386132,-0.811,-1.455,-2.863,
759424657,0.167,-0.047,-2.709,
759463182,1.556,0.852,-2.035,
759501707,2.136,1.713,-1.228,
759540232,1.728,1.485,-0.47,
759578757,0.983,1.033,0.217,
759617282,-0.09,-0.403,-0.379,
759655807,-0.961,-2.731,-0.919,
759694333,-1.011,-3.797,-1.132,
759732857,-0.152,-1.942,-0.604,
759771382,1.198,0.232,-1.183,
759809908,2.176,2.672,-1.894,
759848433,1.676,3.891,-1.479,
759886958,1.074,1.93,-0.349,
759925483,0.415,-0.347,-0.123,
759964008,-0.014,-2.266,-0.221,
760002533,-0.275,-3.685,-0.927,
760041058,-0.251,-1.606,-0.926,
760079583,0.611,-0.005,-1.287,
760118108,1.419,2.62,-1.42,
760156633,1.467,3.572,-1.318,
760195158,1.369,1.228,-0.756,
760233683,0.506,-1.141,-0.209,
760272208,-0.004,-3.249,-0.631,
760310733,-0.389,-3.254,-0.518,
760349258,-0.374,-1.009,-0.59,
760387783,0.613,0.199,-0.973,
760426308,1.446,2.128,-1.526,
760464833,1.5,3.18,-1.477,
760503358,1.236,2.052,-0.848,
760541884,0.754,-0.333,-0.394,
760580409,0.079,-2.65,-0.256,
760618934,-0.29,-3.395,-0.915,
760657459,-0.423,-1.255,-0.667,
760695984,0.169,0.924,-0.845,
760734509,1.069,2.327,-2.475,
760773034,0.64,2.214,-0.61,
760811559,0.293,-0.231,-1.304,
760850084,-0.241,-0.376,-0.69,
760888609,0.066,-0.562,-0.682,
760927134,0.468,0.202,-0.874,
760965659,0.521,-0.325,-0.09,
761004185,0.467,-0.227,0.038,
761042710,-0.8,-0.277,-0.624,
761081234,-2.775,1.087,-2.594,
761119760,-2.394,1.152,-2.368,
761158285,-1.094,-0.288,-0.939,
761196810,1.27,-1.074,1.734,
761235335,2.81,-0.976,1.947,
761273860,1.413,-0.631,1.037,
761312385,-1.087,-0.812,-0.642,
761350910,-2.651,-0.163,-2.4,
761389435,-2.491,-0.033,-2.463,
761427960,-0.525,-0.027,-0.834,
761466486,0.123,-0.149,-0.389,
761505010,0.477,0.417,-0.32,
761543535,0.253,0.835,-0.576,
761582060,0.405,0.776,0.455,
761620586,0.772,-0.09,0.704,
761659111,0.619,-1.701,1.367,
761697636,0.863,-2.012,1.522,
761736161,0.225,-2.005,1.167,
761774686,0.64,0.286,1.281,
761813211,-0.031,2.009,1.131,
761851736,0.021,1.186,0.13,
761890262,0.622,0.851,0.911,
761928787,-0.165,0.866,0.369,
761967312,0.214,0.717,-0.064,
762005837,-0.384,2.221,-0.461,
762044362,0.108,2.826,0.287,
762082887,0.104,1.076,0.907,
762121412,0.301,-1.566,1.2,
762159937,0.778,-0.792,0.388,
762198462,0.499,-0.684,1.47,
762236987,0.138,-1.091,0.75,
762275513,-0.044,-0.874,0.881,
762314037,0.036,-1.037,0.49,
762352562,0.683,-0.679,0.207,
762391088,-0.278,1.069,0.503,
762429613,-0.421,0.601,0.33,
762468138,-0.559,1.208,0.2,
762506663,-0.575,0.538,-0.634,
